Steps,Layer,IT,Accuracy
90000,pool1,0.089666962,0.34
90000,conv2,0.077839791,0.311
90000,conv3,0.100084704,0.35
90000,conv4,0.090428385,0.34
90000,conv5,0.146223984,0.32
90000,pool5,0.236360641,0.49
90000,fc6,0.276048071,0.518
90000,fc7,0.283645007,0.5
150000,pool1,0.080603471,0.36
150000,conv2,0.056671591,0.31
150000,conv3,0.071531397,0.32
150000,conv4,0.052416111,0.31
150000,conv5,0.101267345,0.31
150000,pool5,0.216216502,0.5
150000,fc6,0.19549207,0.49
150000,fc7,0.235480676,0.48
240000,pool1,0.09739785,0.35
240000,conv2,0.07014267,0.32
240000,conv3,0.087112011,0.34
240000,conv4,0.058042019,0.32
240000,conv5,0.119005128,0.35
240000,pool5,0.232098117,0.53
240000,fc6,0.2041615,0.53
240000,fc7,0.227113559,0.5
